rep,envscenario,comp,mean_alpha
27,2,equal,1
27,2,stable,6.91
27,3,equal,1.53
27,3,stable,8.9
27,4,equal,1.44
27,4,stable,6.99
27,5,equal,1
27,5,stable,4.99
27,6,equal,1
27,6,stable,7.85
27,7,equal,1
27,7,stable,5
27,8,equal,1
27,8,stable,5
27,9,equal,2
27,9,stable,6.39
27,10,equal,2
27,10,stable,4.86
27,11,equal,1
27,11,stable,5.19
27,12,equal,1.96
27,12,stable,6.97
27,13,equal,3.76
27,13,stable,7
27,14,equal,1
27,14,stable,6.85
27,15,equal,2
27,15,stable,5.17
27,16,equal,1.68
27,16,stable,5.85
27,17,equal,1.12
27,17,stable,6
27,18,equal,1
27,18,stable,4
27,19,equal,1
27,19,stable,4.33
27,20,equal,1
27,20,stable,6.89
28,1,equal,1.77
28,1,stable,7.3
28,2,equal,1.99
28,2,stable,7.32
28,3,equal,1
28,3,stable,6.61
28,4,equal,1
28,4,stable,6.4
28,5,equal,1
28,5,stable,5.95
28,6,equal,1
28,6,stable,5.69
28,7,equal,1
28,7,stable,4.98
28,8,equal,1
28,8,stable,5.57
28,9,equal,1.94
28,9,stable,6.87
28,10,equal,1
28,10,stable,6.16
28,11,equal,1
28,11,stable,3
28,12,equal,1.98
28,12,stable,6.35
28,13,equal,1.99
28,13,stable,6.11
28,14,equal,1
28,14,stable,4.81
28,15,equal,1.93
28,15,stable,6.82
28,16,equal,1.27
28,16,stable,4.97
28,17,equal,1
28,17,stable,4
28,18,equal,1
28,18,stable,8.18
28,19,equal,1
28,19,stable,6.78
28,20,equal,1
28,20,stable,7.4
29,1,equal,2.6
29,1,stable,5.83
29,2,equal,1.46
29,2,stable,5.86
29,3,equal,1.31
29,3,stable,6.84
29,4,equal,2.4
29,4,stable,9.16
29,5,equal,1.99
29,5,stable,4.96
29,6,equal,1.55
29,6,stable,6.85
29,7,equal,1
29,7,stable,5.95
29,8,equal,3.25
29,8,stable,7.09
29,9,equal,2.29
29,9,stable,6.97
29,10,equal,1
29,10,stable,5.95
29,11,equal,1
29,11,stable,6.14
29,12,equal,2.49
29,12,stable,6.93
29,13,equal,1.49
29,13,stable,8.24
29,14,equal,2.32
29,14,stable,6.7
29,15,equal,1.1
29,15,stable,8.31
29,16,equal,2.27
29,16,stable,7.49
29,17,equal,2.89
29,17,stable,7.92
29,18,equal,2.32
29,18,stable,6.79
29,19,equal,1
29,19,stable,5.22
29,20,equal,1
29,20,stable,7.79
30,1,equal,1.25
30,1,stable,3.22
30,2,equal,1.21
30,2,stable,3.06
30,3,equal,1.27
30,3,stable,3.61
30,4,equal,1.18
30,4,stable,2.91
30,5,equal,1.17
30,5,stable,3.09
30,6,equal,1.13
30,6,stable,3.01
30,7,equal,1.16
30,7,stable,2.9
30,8,equal,1.26
30,8,stable,2.71
30,9,equal,1.16
30,9,stable,2.98
30,10,equal,1.15
30,10,stable,2.63
30,11,equal,1.26
30,11,stable,3.03
30,12,equal,1.26
30,12,stable,3.34
30,13,equal,1.22
30,13,stable,3.33
30,14,equal,1.15
30,14,stable,2.38
30,15,equal,1.16
30,15,stable,3.42
30,16,equal,1.22
30,16,stable,3.33
30,17,equal,1.18
30,17,stable,2.75
30,18,equal,1.12
30,18,stable,2.98
30,19,equal,1.16
30,19,stable,3.1
30,20,equal,1.17
30,20,stable,3.15
31,1,equal,1
31,1,stable,2.31
31,2,equal,1.02
31,2,stable,2.22
31,3,equal,1
31,3,stable,2.37
31,4,equal,1
31,4,stable,2.16
31,5,equal,1.01
31,5,stable,2.27
31,6,equal,1.01
31,6,stable,2.22
31,7,equal,1
31,7,stable,2.27
31,8,equal,1
31,8,stable,2.31
31,9,equal,1
31,9,stable,2.36
31,10,equal,1.01
